id,migration_status,migration_reasoning
7878,non_migrated,Painter based in Crimea/Ukraine throughout career with no indication of emigration.
7880,non_migrated,Kyiv-based painter and teacher; entire career in Ukraine with no emigration signals.
7881,non_migrated,Kyiv-born painter and teacher; career entirely in Ukraine.
7882,unknown,Bio is truncated and details about later life are insufficient to determine migration status.
7883,non_migrated,Born in Uzbekistan; worked with Crimean Tatar ensemble in Crimea; settled in Ukraine.
7887,non_migrated,Kharkiv-based architect with career entirely in Ukraine.
7888,non_migrated,Kolomyia-born art scholar and artist; entire career in western Ukraine.
7890,non_migrated,Composer and teacher based in Poltava region; career entirely in Ukraine.
7891,non_migrated,Ternopil-born painter; career entirely in western Ukraine.
7895,non_migrated,Odesa-born artist with career in Ukraine; no emigration signals.
7903,non_migrated,Zaporizhzhia-region ceramic artist; career entirely in Ukraine.
7906,non_migrated,Kyiv-born painter; career entirely in Kyiv with no emigration signals.
7912,non_migrated,Lviv-region singer and TV/radio host; career entirely in Ukraine.
7913,non_migrated,Vinnytsia-region architect; career entirely in Ukraine.
7915,non_migrated,Donetsk-region painter; education in Rostov (Russia) then returned to career in Ukraine.
7916,migrated,Studied at Hunter College (New York) and received degrees in the US; member of НТШ diaspora institution — settled in USA.
7918,non_migrated,Kyiv-born composer; trained at Gorky Conservatory but career based in Ukraine.
7919,non_migrated,Born in Russian Far East; trained and worked entirely in Ukrainian theater institutions in Kyiv.
7921,non_migrated,Cherkasy-region prose writer; career entirely in Ukrainian publishing and literary institutions.
7922,non_migrated,Luhansk-born composer; trained and teaches at Luhansk Institute of Culture — career in Ukraine.
7924,internal_transfer,Trained at Moscow Shchukin Theater School (1967) and worked at Vakhtangov State Theater in Moscow for career.
7928,non_migrated,Dnipropetrovsk-born painter; career entirely in Kyiv academic institutions.
7932,non_migrated,Luhansk-region singer; career entirely in Ukrainian cultural institutions.
7933,non_migrated,Kyiv-born conductor; career in Kyiv; received Shevchenko National Prize 2024 — active in Ukraine.
7935,non_migrated,Mykolaiv-region actor and teacher; career entirely in Ukrainian theater.
7936,unknown,Career details are truncated and no clear migration or deportation signals present.
7937,non_migrated,Lviv-born theater artist; career entirely in Lviv and western Ukraine.
7939,non_migrated,Zhytomyr-region prose writer; career entirely in Ukrainian literary institutions.
7941,non_migrated,Born in Azerbaijan; trained and worked in Kyiv theater — career in Ukraine.
7943,non_migrated,Kyiv-born sculptor; career entirely in Kyiv academic and creative institutions.
7944,non_migrated,Born in Moscow; trained in Kyiv and career entirely in Ukrainian art institutions from 1973.
7945,non_migrated,Born in Kemerovo Russia; trained in Kharkiv and career entirely in Ukraine.
7947,non_migrated,Kryvyi Rih-born painter; trained in Kharkiv; career entirely in Ukraine.
7948,non_migrated,Born in Sevastopol; trained in Kharkiv; career entirely in Ukraine.
7949,non_migrated,Born in Sevastopol; studied at Kholui school in Russia but career based in Ukraine.
7950,internal_transfer,Left for Russia in 1965; member of СХ РРФСР and head of Murmansk artists organization — voluntary career move to Russia.
7951,non_migrated,Rivne-region actor; career entirely in Ukrainian theater from 1990.
7954,non_migrated,Donetsk-region graphic artist; studied in Russia then career entirely in Ukraine.
7956,non_migrated,Stryi-born graphic artist; career in Odesa and Ukrainian publishing institutions.
