id,name,birth_year,birth_city,profession,bio_text
7311,Іванюк-Корф Наталія  Анатоліївна,1985.0,м. Кременчук Полтав. обл.,живописець,"(16. 04. 1985, м. Кременчук Полтав. обл.) – живописець. Член НСХУ (2010). Закін. Полтав. тех. університет (2008), де відтоді й працює. Учасниця міських, обл., всеукр. худож. виставок, пленерів, керам...."
7319,Івахів Соломія  Орестівна,1980.0,Львів,скрипалька,"(03.04.1980, Львів) – скрипалька. Дочка О. Івахіва. Заслужена артистка України (2021). Лауреатка Міжнародного конкурсу скрипалів ім. Я. Коціяна (м. Усті-над-Орліці, Чехія, 1993) та ім. С. Прокоф’єва (м...."
7323,Івахненко-Пошиваник Людмила  Андріївна,1946.0,Черкаси,графік,"(05. 05. 1946, Черкаси) – графік. Закін. Київ. вечір. факультет Укр. полігр. інституту у Львові (1972; викл. О. Крилова). На творчій роботі. Основна галузь – книжк. графіка. Оформила книги київ...."
7327,Івашків Василь  Михайлович,1958.0,с. Потік Козів. р-ну Терноп. обл.,літературознавець,"(29. 07. 1958, с. Потік Козів. р-ну Терноп. обл.) – літературознавець, фольклорист. Чоловік Г. Івашків. Доктор філологічних наук (2010). Закін. Львівський університет (1980). Працював у Терноп. пед...."
7328,Івашків Галина  Миколаївна,1955.0,Луцьк,художниця театру і живописець,"(13. 05. 1955, Луцьк) – художниця театру і живописець, педагог. Дипломи Осін. салону «Високий Замок» (Львів, 2008–09). Закін. Львів. інститут прикладного та декоративного мистецтва (1982; викл. Д...."
7329,Івашків Галина  Михайлівна,1955.0,с. Цеперів Кам’янка-Бузького р-ну Львів. обл.,мистецтвознавець,"(05. 03. 1955, с. Цеперів Кам’янка-Бузького р-ну Львів. обл.) – мистецтвознавець. Дружина В. Івашківа. Канд. мистецтвознавства (2004). Закін. Львівський університет (1986). Працювала екскурсоводом та н...."
7330,Івашко Юлія Вадимівна,1970.0,Київ,архітектор,"(18. 02. 1970, Київ) — архітектор. Доктор архітектури (2014), професор (2015). Закінчила Київський інженерно-будівельний інститут (1993), де від 1994 й працює (нині університет будівництва і архітектури): від..."
7335,Іващенко Григорій  Лукич,1954.0,с. Бурімка Семенів. р-ну Полтав. обл.,культуролог і графік,"(20. 09. 1954, с. Бурімка Семенів. р-ну Полтав. обл.) – культуролог і графік. Закін. Дніпроп. університет (1980). Працював 1980–82 у зварюв. технікумі; від 1985 – викладач історії та культурології Дніпроп...."
7336,Іващенко Григорій  Митрофанович,1930.0,"с. Бурімка, нині Семенів. р-ну Полтав. обл.",співак (баритон),"(02. 02. 1930, с. Бурімка, нині Семенів. р-ну Полтав. обл.) – співак (баритон). Заслужений артист Морд. РСР (1964). Закін. Моск. консерваторію (1958). Відтоді викладав у Полтав. пед. інституті та вечір. муз...."
7337,Іващенко Григорій  Олександрович,1989.0,м. Кривий Ріг Дніпроп. обл.,дизайнер і живописець,"(04. 01. 1989, м. Кривий Ріг Дніпроп. обл.) – дизайнер і живописець. Закін. худож.-графіч. факультет Криворіз. пед. університету (2009; викл. І. Брижата, В. Мішуровський). На творчій роботі. Учасник..."
7338,Іващенко Ігор  Єфремович,1931.0,"с. Григорівка, нині Обухів. р-ну Київ. обл.",диригент,"(17. 12. 1931, с. Григорівка, нині Обухів. р-ну Київ. обл.) – диригент, композитор. Народний артист УРСР (1974). Закін. Київську консерваторію (1957; кл. диригування О. Климова). 1956–80 – гол. диригент Держ...."
7339,Іващенко Тетяна  Ігорівна,1955.0,Сімферополь,дизайнер одягу,"(02. 04. 1955, Сімферополь) – дизайнер одягу. Закін. Київ. політех. інститут (1979). Відтоді викладала електротех. дисципліни у Київ. технікумі радіоелектроніки. Від 1989 – на творчій роботі. Президент..."
7340,Іващенко Тетяна  Петрівна,1960.0,Київ,драматург,"(05. 10. 1960, Київ) – драматург. Заслужений діяч мистецтв України (2018). Закін. Київ. інститут культури (1984). Працювала в б-ці Київ. інституту театр. мистецтва (1985–2001). Поставлено її п’єси «Принц –..."
7347,Івлюшкін Павло В’ячеславович,1977.0,"Дніпропетровськ, нині Дніпро",хореограф,"(22. 09. 1977, Дніпропетровськ, нині Дніпро) — хореограф, режисер, тренер, педагог. Заслужений діяч мистецтв України (2021). Майстер спорту зі спортивних танців на візках (2019). Суддя міжнародного..."
7348,Івницька Зоя  Олександрівна,1928.0,"м. Біла Церква, нині Київ. обл.",художниця театру,"(04. 11. 1928, м. Біла Церква, нині Київ. обл.) – художниця театру, живописець, графік. Дружина М. Івницького. Закін. Одес. художнє училище (1953; викл. Л. Мучник, Д. Фруміна). Працювала 1954–66 учителем..."
7351,Івченко Анатолій  Володимирович,1940.0,"с. Краснокумка Ставроп. краю, РФ",графік і живописець,"(07. 05. 1940, с. Краснокумка Ставроп. краю, РФ) – графік і живописець. Член НСХУ (1977). Закін. Дніпроп. художнє училище (1962; викл. М. Боровський). Працював 1962–91 на Запоріз. худож.-вироб. комбінаті. На..."
7352,Івченко Анатолій  Михайлович,1940.0,с. Нива Трудова Апостолів. р-ну Дніпроп. обл.,художник-монументаліст,"(03. 07. 1940, с. Нива Трудова Апостолів. р-ну Дніпроп. обл.) – художник-монументаліст. Член НСХУ (1988). Закін. Харків. худож.-пром. інститут (1971; викл. Б. Косарев, Ю. Старостенко, М. Шапошников). Відтоді..."
7356,Івченко Володимир  Іванович,1936.0,с. Зеленьки Миронів. р-ну Київ. обл.,прозаїк,"(17. 11. 1936, с. Зеленьки Миронів. р-ну Київ. обл.) – прозаїк, публіцист. Член НСПУ (1994). Закінчив Київський університет (1959). Працював у газетах Алтайського краю (РФ); 1967–78 – завідувач відділу,..."
7359,Івченко Галина Андріївна,1962.0,м. Яворів Львівської обл.,хоровий диригент,"(03. 05. 1962, м. Яворів Львівської обл.) — хоровий диригент, педагог, музично-громадська діячка. Заслужена діячка мистецтв України (2021). Закінчила Рівненський педагогічний інститут (1985). Від 1990..."
7366,Ігнатенко Оксана  Олександрівна,1972.0,Дніпропетровськ,поетеса,"(16. 07. 1972, Дніпропетровськ) – поетеса. Член НСПУ (2003). Закін. Дніпроп. університет (1995). Учителювала, працювала на телебаченні, кор. г. «Трибуна металурга»; нині веде літ. студію для молодших..."
7370,Ігнатуша Олександр  Федорович,1955.0,Київ,актор,"(03. 11. 1955, Київ) – актор, режисер, педагог. Член НСКінУ (1985). Народний артист України (2025). Закін. Київ. інститут театр. мистецтва (1976; курс Л. Олійника), Вищі курси сценаристів і кінорежисерів у..."
7372,Ігнатченко Ірина Георгіївна,1972.0,Дніпропетровськ,піаністка,"(21. 05. 1972, Дніпропетровськ) – піаністка, музикознавець, педагог. Дочка Г. Ігнатченка. Канд. мистецтвознавства (2003). Лауреатка міжнар. конкурсів «Золота осінь» (Хмельницький, 1993, 1-а премія),..."
7373,Ігнатьєв Володимир  Петрович,1951.0,"м. Картали Челябін. обл., РФ",художник декоративно-ужиткового мистецтва,"(14. 08. 1951, м. Картали Челябін. обл., РФ) – художник декоративно-ужиткового мистецтва, скульптор. Срібні медалі ВДНГ СРСР (1985, 1987–88). Член НСХУ (1992). Закін. Магнітогор. пед. інститут (Челябін. обл.,..."
7374,Ігнатьєв Олег  Григорович,1949.0,Миколаїв,режисер,"(21. 05. 1949, Миколаїв) – режисер, актор. Чоловік Н. Ігнатьєвої. Заслужений діяч мистецтв України (1997). Орден «За заслуги» 3-го (2009), 2-го (2018) ступ. Закін. актор. (1971; викл. М. Карасьов) і режисер. (1977; викл...."
7376,Ігнатьєв Сергій  Петрович,1964.0,Київ,живописець,"(05. 04. 1964, Київ) – живописець. Син П. Ігнатьєва. Член НСХУ (1999). Закін. Київ. ПТУ (1984), Вище монум.-художнє училище у Вільнюсі (1989). На творчій роботі. Основна галузь – монум. і станк. живопис. Створює..."
7377,Ігнатьєв Юрій  Борисович,1954.0,"м. Росток, Німеччина",графік,"(17. 06. 1954, м. Росток, Німеччина) – графік, живописець. Член НСХУ (1992). Навч. у Київ. політех. інституті (1974–76), малювати – у Ю. Силантьєва. Працював на Київ. комбінаті монум.-декор. мистецтва..."
