id,migration_status,migration_reasoning
4866,non_migrated,Worked as soloist at Kharkiv opera 1962–82 and remained in Ukraine throughout career.
4869,non_migrated,Worked at Ternopil branch of a design institute; career entirely in Ukraine.
4871,internal_transfer,Graduated Moscow conservatory 1960 and was soloist at Moscow opera 1961–88; relocated to Soviet Russia voluntarily for career.
4872,migrated,Graduated from International Academy of New Composition in Austria (1999); settled in non-Soviet country for substantial adult study and career.
4873,internal_transfer,Soloist at Ural opera (Russia) throughout career until 1995; voluntarily relocated within the Soviet sphere to Russia.
4874,non_migrated,Born in Kursk RF but worked as architect in Kyiv institutions; career based in Ukrainian SSR/Ukraine.
4877,non_migrated,Studied at National Music Academy Kyiv 1991–96 and remained in Ukraine as performer and advocate of Ukrainian music.
4879,non_migrated,Born and worked in Mykolaiv region; career entirely in Ukraine.
4881,non_migrated,Born in Uzbekistan but lived and worked in Kyiv; received Ukrainian state prizes and joined Ukrainian unions.
4886,non_migrated,Participated in festivals in Kyiv and Moscow as a child artist; career based in Chernivtsi/Ukraine.
4894,internal_transfer,Conducted at Novosibirsk opera 1963–69 and 1976–89; received title народний артист РФ; career substantially based in Soviet Russia.
4896,internal_transfer,Family moved to Kharkiv; studied at Stroganov school in Moscow; career developed across Soviet republics voluntarily.
4902,non_migrated,Graduated Kyiv art institute 1972 and worked in Ukraine throughout career.
4904,non_migrated,Born in Turkmenistan; graduated Kyiv medical institute 1985 and worked in Kyiv neurosurgery institute.
4907,non_migrated,Studied in Kyiv and Moscow conservatories; career as composer and academic based in Kyiv.
4909,non_migrated,Born and worked in Dnipropetrovsk; career entirely in Ukraine.
4910,internal_transfer,Born in Saratov; trained and received title народний артист РФ 1999; career based in Russia.
4911,non_migrated,Born and worked in Kyiv; career as graphic artist entirely in Ukraine.
4912,non_migrated,Born in Sumy region; worked in military music institutions in Ukraine throughout career.
4917,non_migrated,Born in Sumy; career as architect based in Kyiv/Ukraine.
4924,non_migrated,Born in Bila Tserkva; graduated Lviv institute 1980 and worked as artist in Ukraine.
