id,name,birth_year,birth_city,profession,bio_text
2303,Болячевський Віктор  Олександрович,1941.0,Київ,графік,"(07. 02. 1941, Київ) – графік. Член НСХУ (1995). Закін. Заочний нар. університет мистецтв (РФ, 1977). Від 1971 працював на Київ. комбінаті монум.-декор, мистецтва. 1972–89 – у творчо-вироб. майстернях Гол. упр...."
2306,Бондар Анатолій Олексійович,1945.0,"с. Голубівка Ворошиловгр. обл., нині м. Кіровськ Луган. обл.",графік,"(30. 10. 1945, с. Голубівка Ворошиловгр. обл., нині м. Кіровськ Луган. обл.) – графік, різьбяр. Лауреат низки укр. та міжнар. конкурсів плаката (Київ – 1978–79, 1984; Москва – 1984, 1986). Член НСХУ (1985). Закін...."
2307,Бондар Андрій Володимирович,1974.0,м. Кам’янець-Подільський Хмельн. обл.,поет,"(14. 08. 1974, м. Кам’янець-Подільський Хмельн. обл.) – поет, літературознавець, перекладач. Член АУП (1998). Лауреат видавництва «Смолоскип» (1997). Закін. Нац. університет «Києво-Могилян. академія»..."
2308,Бондар Валентина  Миколаївна,1954.0,м. Кривий Ріг Дніпроп. обл.,графік,"(03. 02. 1954, м. Кривий Ріг Дніпроп. обл.) – графік. Член НСХУ (2000). Закін. Одес. художнє училище (1975; викл. М. та Г. Павлюки). Учасниця обл., респ., всесоюз. худож. виставок від 1976. Осн. жанри – портрет і..."
2310,Бондар Василь Васильович,1954.0,с. Теліжинці Тетіїв. р-ну Київ. обл.,прозаїк,"(15. 01. 1954, с. Теліжинці Тетіїв. р-ну Київ. обл.) – прозаїк, публіцист. Член НСПУ (1995). Закін. Київський університет (1980). Працював худож. кер. сільс. клубу; в газетах Кіровоградщини («Молодий..."
2312,Бондар Іван Іванович,1944.0,"с. Яснозір’я, нині Черкас. р-ну Черкас. обл.",живописець,"(01. 10. 1944, с. Яснозір’я, нині Черкас. р-ну Черкас. обл.) – живописець. Народний художник України (2014). Член НСХУ (1985). Закін. Одес. художнє училище (1969; викл. К. Мартенюк) та Київ. худож. інститут (1975;..."
2314,Бондар Лариса Миколаївна,1945.0,Дніпропетровськ,мистецтвознавець,"(19. 09. 1945, Дніпропетровськ) – мистецтвознавець. Дочка М. Бондаря, дружина В. Городиського. Член НСХУ (1984). Закін. Київський художній інститут (1975; викл. П. Білецький). Працювала завідувач відділу..."
2317,Бондар Микола Пантелеймонович,1952.0,"с. Люлинці Комсомол., нині Калинів. р-ну Вінн. обл.",літературознавець,"(02. 02. 1952, с. Люлинці Комсомол., нині Калинів. р-ну Вінн. обл.) – літературознавець, поет. Кандидат філологічних наук (1984). Закін. Війн. пед. інститут (1972). Працював журналістом. Від 1982 – науковий..."
2318,Бондар Олександр Несторович,1937.0,"с. Поромівка, нині Володар.-Волин. р-ну Житомир. обл.",актор і режисер,"(15. 04. 1937, с. Поромівка, нині Володар.-Волин. р-ну Житомир. обл.) – актор і режисер. Заслужений артист УРСР (1972). Закін. актор. (1964; викл. Л. Олійник) і режисер. (1972; викл. В. Харченко) факультети Київ...."
2322,Бондар-Терещенко Ігор  Євгенович,1964.0,Харків,письменник,"(14. 07. 1964, Харків) – письменник, графік. Брат В. Бондаря. Закін. архіт. факультет Харків. інституту інж. комунал. будівництва (1986) і Моск. літ. інститут (1996). Працював художником і викл. реставрац...."
2323,Бондарева Олена  Євгенівна,1965.0,Херсон,поетеса,"(11. 01. 1965, Херсон) – поетеса, літературознавець. Член НСПУ (1998). Закін. Херсон, пед. інститут (1986). Перші вірші опубл. вобл. (1977) та укр. дитячій (1979) періодиці. Друкувалась у журналах «Юность»,..."
2324,Бондаревська Белла  Григорівна,1939.0,м. Жмеринка Війн. обл.,виконавиця єврейських народних пісень (мецо-сопрано),"(11. 10. 1939, м. Жмеринка Війн. обл.) – виконавиця єврейських народних пісень (мецо-сопрано). Лауреат фестивалю «Шолом, Україно» (2001), Всеукр. радіофестивалю «Пісня року» (2002). Закін. Моск. мед...."
2326,Бондаревський Микола  Петрович,1949.0,м. Козятин Вінн. обл.,актор,"(06. 03. 1949, м. Козятин Вінн. обл.) – актор. Заслужений артист УРСР (1980). Державні нагороди СРСР. Закін. Київ. інститут театр. мистецтва (1970; викл. О. Пархоменко, Г. Зінюк). Працював у Полтав. укр...."
