id,migration_status,migration_reasoning
12405,non_migrated,Poet from Chernihiv region with career entirely in Ukraine; no emigration indicated.
12406,non_migrated,Pianist born in Lviv; has taught at Lviv Conservatory since 1962 with no emigration.
12408,non_migrated,Poet from Luhansk region; career entirely within Ukraine.
12409,non_migrated,Singer born in Poltava; competed internationally but career based in Ukraine.
12412,non_migrated,Painter born in Kerch; studied in Lviv and worked in Ukraine throughout career.
12416,non_migrated,Painter from Volyn region; career entirely in Ukraine.
12417,non_migrated,Literary scholar from Vinnytsia region; career based in Ukraine (Chernivtsi).
12422,non_migrated,Writer and journalist from Kyiv region; career entirely in Ukraine.
12423,migrated,Born in Cleveland Ohio USA; studied in Canada and spent substantial adult life in North America.
12424,migrated,Writer from Ternopil; member of PEN-club USA (2003) confirming emigration to the United States.
12428,non_migrated,Painter from Mariupol; studied in Rostov-on-Don RF briefly then returned and worked in Mariupol Ukraine.
12433,non_migrated,Literary scholar born in Lviv; career at Lviv University throughout.
12434,non_migrated,Painter from Kharkiv region; career entirely in Ukraine.
12438,non_migrated,Painter from Lviv region; career in Ukraine as monumental artist.
12440,non_migrated,Graphic artist from Ivano-Frankivsk region; career in Ukraine.
12446,non_migrated,Decorative glass artist from Lviv region; career in Ukraine.
12447,non_migrated,Decorative glass artist born in Lviv; career in Ukraine with national prize.
12454,non_migrated,Sculptor born in Kharkiv; trained and worked in Kharkiv throughout career.
12455,non_migrated,Painter from Rivne region; career entirely in Ukraine.
12456,non_migrated,Writer and illustrator from Ternopil region; career in Ukraine (Lviv).
12457,non_migrated,Conductor born in Armenia (Gyumri); worked in Ukraine building career at Ukrainian institutions.
12460,non_migrated,Literary scholar from Khmelnytskyi region; career entirely in Ukraine.
12464,non_migrated,Singer (tenor) from Lviv region; career at Lviv Opera throughout.
12467,migrated,Singer born in Slovakia and working as artist in Slovakia — lifelong residency outside Soviet/Ukrainian sphere.
12474,non_migrated,Painter born in Kherson; worked in Kyiv then returned to Ukraine-based career.
12478,non_migrated,Theatre artist born in Kharkiv region; career at Kharkiv theatres throughout.
12479,non_migrated,Literary scholar from Zakarpattia; career at Kyiv university system.
12487,non_migrated,Sculptor born in Omsk Russia; trained and worked in Kyiv Ukraine throughout adult career.
12488,non_migrated,Writer born in Rivne; career and activity entirely in Ukraine.
12489,migrated,Theatre and film artist born in Kyiv; member of German Artists Union (Союз художників Німеччини 1998) confirming emigration to Germany.
12490,non_migrated,Painter born in Uzhhorod; career in Uzhhorod Ukraine throughout.
12491,non_migrated,Painter from Mukacheve; career in Uzhhorod Ukraine throughout.
12493,non_migrated,Painter from Lviv region; lifelong career in Ukraine as National Artist and Shevchenko Prize laureate.
