id,name,birth_year,birth_city,profession,bio_text
3840,Гапоченко Іван Іванович,1951.0,с. Семиротівка Лебедин. р-ну Сум. обл.,живописець і графік,"(27. 11. 1951, с. Семиротівка Лебедин. р-ну Сум. обл.) – живописець і графік. Батько Ю. Гапоченко. Член НСХУ (1995), НСМНМУ (1999).
Закін. Київ. інститут театр. мистецтва (1999; викл. І. Зубавіна, О. Мусієнко). Від..."
3841,Гапоченко Юлія Іванівна,1980.0,Суми,живописець,"(01. 10. 1980, Суми) – живописець. Дочка І. Гапоченка. Член НСМНМУ (2001), НСХУ (2002). Закін. Харків. пед. інститут (2004; викл. В. Хмельницький). Працює у галузях станк.
живопису та декор.-ужитк. мистецтва..."
3842,Гаптар Володимир Максимович,1953.0,с. Орловець Городищен. р-ну Черкас. обл.,поет,"(17. 03. 1953, с. Орловець Городищен. р-ну Черкас. обл.) – поет. Син М. Гаптара. Член НСПУ (1990). Літ. премія ім. А. Малишка (1992). Закін. Літ. інститут у Москві (1987). Працював оглядачем Радіотелеграф...."
3844,Гаптенко Віктор Олександрович,1939.0,м. Біла Церква Київ. обл.,співак (тенор),"(12. 05. 1939, м. Біла Церква Київ. обл.) – співак (тенор). Заслужений артист України (1996). Закін. Київське музичне училище ім. Р. Ґлієра (1966; кл. Л. Дорошенко). Від 1962 – арт. хору Нац. опери України (Київ)...."
3845,Гарабач Ярема,1948.0,Мюнхен,скульптор,"(1948, Мюнхен) – скульптор. Золоті медалі Італ. АМ (1979, 1981). Навч. у Рим. (1968– 69), Мюнхен. (1969–74; викл. Г. Крук) АМ. Від 1970 – у США (м. Парма, шт. Огайо). Автор напівабстракт. метал. скульптур. Учасник..."
3848,Гаран Олена Валентинівна,1977.0,Полтава,поетеса,"(05. 09.  1977, Полтава) – поетеса. Член НСПУ (2002). Дипломантка Міжнар. конкурсу молодих літераторів «Гранослов» (2000). Закін. Полтав. пед. інститут (1999). Учителювала. Від 2005 – голова Полтав...."
3856,Гарасимчук Орест,1966.0,Нью-Йорк,український піаніст і композитор у США,"(28. 09. 1966, Нью-Йорк) – український піаніст і композитор у США. Закін. Консерваторію Мейсон Ґросс при Ратґер. університеті (1989; кл. композиції Ч. Вуорінена), навч. в Укр. муз. інституті в Нью-Йорку...."
3859,Гарасюта Роман Федорович,1958.0,Москва,живописець,"(03. 08.  1958, Москва) – живописець. Член НСХУ (1992). Закін. Харків. худож.-пром. інститут (1984). Відтоді працював у Худож. фонді Микол. організації СХУ. Митець поєднує реалізм, абстракцію та романтизм...."
3860,Гарбуз Володимир Васильович,1951.0,с. Карапиші Миронів. р-ну Київ. обл.,графік і живописець,"(21. 12. 1951, с. Карапиші Миронів. р-ну Київ. обл.) – графік і живописець. Член НСХУ (1988). Закін. Укр. полігр. інститут у Львові (1988; викл. Ф. Глущук). Працював оформлювачем «Київоздоббуду» (1972–79); на..."
3861,Гарбуз Роман Степанович,1949.0,с. Шельпаки Підволочис. р-ну Терноп. обл.,скульптор,"(02. 01.  1949, с. Шельпаки Підволочис. р-ну Терноп. обл.) – скульптор. Член НСХУ (1993). Закін. Львів. інститут прикладного та декоративного мистецтва (1971; викл. Ю. Лащук, А. Оверчук, З. Флінта). Від 1972 –..."
3862,Гарбуз Сергій Володимирович,1961.0,м. Свердловськ Луган. обл.,письменник,"(31. 08. 1961, м. Свердловськ Луган. обл.) – письменник. Член НСПУ (1995). Закін. Київський університет (1998).
Працює журналістом. Друкується від 1989. Автор поет. зб. «Яблуко надкушене» (Сокиряни, 1993),..."
3864,Ґарда Орест  Павлович,1965.0,Львів,актор,"(03. 08. 1965, Львів) – актор. Народний артист України (2017). Закін. студію при Львів. укр. драм. театрі ім. М. Заньковецької (1984; кл. Б. Козака, Л. Каганової), факультет укр. філології Львів. університету..."
3867,Гарді-Ковачевич Iрина,1944.0,"с. Руський Керестур, Воєводина, нині Сербія і Чорногорія",русинська поетеса в Сербії й Чорногорії,"(17. 09. 1944, с. Руський Керестур, Воєводина, нині Сербія і Чорногорія) – русинська поетеса в Сербії й Чорногорії. Закiн. фiлол. факультет Новосад. університету (1974). Працювала у видавництві «Руске..."
3872,Гаркавий Олег В’ячеславович,1968.0,"м. Каспійськ, Дагестан, РФ",композитор,"(08. 10. 1968, м. Каспійськ, Дагестан, РФ) – композитор. Член НСКУ (2002). Закін. С.-Петербур. мор. тех. університет (1992), Одес. консерваторію (1998; кл. В. Ніколаєва). Від 1998 – на творчій роботі.

Тв.:..."
3873,Гаркуша Антоніна Степанівна,1947.0,"с. Волоки Гроднен. обл., Білорусь",співачка (колоратурне сопрано),"(25. 06. 1947, с. Волоки Гроднен. обл., Білорусь) – співачка (колоратурне сопрано). Закін. Одес. консерваторію (1973; кл. О. Благовидової). 1973–74 – солістка Одес., від 1975 – Дніпроп. театрів опери та..."
3875,Гаркуша Володимир Захарович,1938.0,м. Павлоград Дніпроп. обл.,співак (тенор),"(06. 01. 1938, м. Павлоград Дніпроп. обл.) – співак (тенор). Заслужений артист УРСР (1990). Дипломант Міжнар. фестивалю-конкурсу «Золоті трембіти» (Івано-Франківськ, 1997). Закін. Одес. консерваторію (1968;..."
3879,Гармаш Анатолій Терентійович,1947.0,Дніпропетровськ,графік і живописець,"(01. 01. 1947, Дніпропетровськ) – графік і живописець. Член НСХУ (1984). Закін. Укр. полігр. інститут у Львові (1976; викл. В. Бунов). Працював художником у КБ «Південне» (Дніпропетровськ, 1966– 77); від 1977 –..."
