id,migration_status,migration_reasoning
1774,non_migrated,Career spent teaching at Ternopil higher vocational school in Ukraine with no indication of emigration.
1775,non_migrated,Lived and exhibited in Ivano-Frankivsk region throughout career with no indication of emigration.
1777,non_migrated,Singer who worked at Ukrainian institutions and shows no indication of leaving Ukraine.
1778,non_migrated,Ceramicist who graduated from Lviv and worked in Ukraine; no emigration evidence.
1779,non_migrated,Ceramicist based in Lviv with international exhibition visits only; no permanent relocation outside Ukraine.
1780,non_migrated,Ceramicist based in Lviv; studied and worked in Ukraine throughout career.
1781,non_migrated,Writer from Khmelnytskyi region who taught and worked in Ukrainian press throughout career.
1782,non_migrated,Director who studied and worked entirely within Ukraine.
1785,internal_transfer,Identifies as a Ukrainian civic-cultural figure in Russia; lived in Moscow from 1974 onwards voluntarily.
1788,non_migrated,Writer based in Mykolaiv who graduated and teaches at local university.
1790,non_migrated,Art scholar who worked in Kyiv institutions throughout career.
1797,non_migrated,Actor based in Dnipropetrovsk region; career entirely in Ukraine.
1800,non_migrated,Applied arts artist in Uzhhorod with career in Ukraine.
1811,non_migrated,Singer based in Odesa who won Ukrainian competitions; career in Ukraine.
1812,non_migrated,Poet graduated from Voronezh (Russia) for study but works as surgeon in Dniprodzerzhynsk; career in Ukraine.
1813,non_migrated,Actor who studied and has worked at the Cherkasy theatre since 1980.
1814,migrated,Described as Ukrainian painter in the USA; member of United Ukrainian Artists in USA (Philadelphia division) and studied at Pennsylvania Academy of Fine Arts.
1815,non_migrated,Painter worked at Baranivka porcelain factory 1953–93 with career entirely in Ukraine.
1816,non_migrated,Literary scholar who graduated from and has worked at Kyiv University since 1984.
1818,non_migrated,Prose writer based in Lviv throughout career.
1819,unknown,Born in Switzerland and studied in St. Petersburg; worked in Russian Empire/early Soviet period with insufficient bio detail to determine final country of residence.
1821,non_migrated,Painter based in Kyiv; international exhibition visits to Poland/Austria/Germany do not constitute settlement abroad.
1824,non_migrated,Actor who studied in Kyiv and worked in Ukrainian theatres throughout career.
1830,non_migrated,Decorative arts artist who studied in Kharkiv and worked in Ukraine.
1831,non_migrated,Decorative arts artist born in Kazan (Russia) but studied and worked in Ukraine; no evidence of emigration from Ukraine.
1842,internal_transfer,Graduated Moscow Conservatory and became member of Composers Union of Russia (1990); career based in Russia rather than Ukraine.
1848,non_migrated,Poet and literary scholar who graduated from and worked at Kyiv institutions throughout career.
1849,non_migrated,Sculptor who studied in Kharkiv and Kursk (for study) and worked in Ukraine.
1850,non_migrated,Sculptor who studied in Kharkiv and worked in Ukraine from 1979.
1851,non_migrated,Poet who graduated from Kyiv University and worked in Ukraine throughout career.
1853,non_migrated,Sculptor who studied in Lviv and worked in Ukraine.
1854,non_migrated,Painter who studied and worked in Kyiv; career in Ukraine.
1856,non_migrated,Born in Magadan region (Russia) but studied in Kyiv and worked from 1982 in Ukrainian institutions.
1857,non_migrated,Painter born and based in Kyiv throughout career.
1858,non_migrated,Poet born in Azerbaijan (Soviet era); studied in Kharkiv and worked at Donetsk Polytechnic Institute in Ukraine.
1862,non_migrated,Poster artist who studied and worked in Kyiv throughout career.
1863,non_migrated,Painter based in Odesa since 1974; career entirely in Ukraine.
1864,non_migrated,Choral conductor and educator based in Kharkiv region throughout career.
1865,non_migrated,Painter who studied in Kyiv and worked in Dnipropetrovsk from 1973.
1867,non_migrated,Musicologist based in Kryvyi Rih and Kyiv throughout career.
1868,non_migrated,Composer based in Dniprodzerzhynsk; career in Ukraine.
1869,non_migrated,Conductor born in Baku; worked at Cherkasy Ukrainian theatre from 1982.
1872,non_migrated,Monumental artist born in Kaluga (Russia) but studied and worked in Lviv; career in Ukraine.
1879,non_migrated,Painter who studied and worked in Kyiv throughout career.
1880,non_migrated,Painter who studied in Kyiv and participated in Ukrainian exhibitions.
1882,non_migrated,Painter who studied in Kyiv and worked in Ukraine.
1885,non_migrated,Musicologist based in Kryvyi Rih and Kyiv; career in Ukraine.
1891,internal_transfer,Singer who graduated from Moscow Music-Pedagogical Institute and was soloist of ensembles based in Russian military districts; career centered in Russia.
1892,non_migrated,Architect who studied in Kyiv and worked on projects in Ukraine.
1898,non_migrated,Crimean Tatar artist born in Namangan (Uzbekistan); studied in Kyiv and worked in Ukraine.
1899,non_migrated,Painter born and working in Luhansk; career entirely in Ukraine.
1900,unknown,Born 1879 in Lviv; ran an architectural studio in Lviv 1908–39; insufficient bio to determine fate after 1939.
1902,non_migrated,Belarusian writer (Bykau) born in Belarus; spent career in Belarus and is identified as Belarusian; not Ukrainian migrant.
1903,non_migrated,Painter who studied in Leningrad (for education) and worked in Ukraine throughout career.
1911,non_migrated,Architect born in Luhansk region and working in Ukraine throughout career.
1912,non_migrated,Graphic artist and painter who studied in Kharkiv and worked in Ukraine.
1915,migrated,Described as Ukrainian writer in Yugoslavia; born in Vojvodina (Serbia) and spent career there; non-Soviet country.
1917,non_migrated,Poet born and living in Lviv region; career in Ukraine.
1918,non_migrated,Photographer and graphic artist born in Weimar (Germany) but studied in Moscow and founded studio in Ukraine in 1992.
1919,internal_transfer,Graphic artist awarded Zasluzheniy Khudozhnik RSFSR (1978) and Clen-Correspondent of Russian AM; career based in Russia.
1920,non_migrated,Sculptor born in Tiraspol (Moldova) who studied and worked in Kyiv throughout career.
1921,non_migrated,Architect born in Tver region (Russia) who studied in Moscow and worked in Ukraine.
1922,non_migrated,Painter born and based in Kyiv; career in Ukraine.
1923,non_migrated,Actor and director who studied in Kyiv and worked in Ukrainian theatres.
1925,non_migrated,Composer and pianist born and working in Kyiv; career in Ukraine.
1926,non_migrated,Graphic artist and painter born and working in Kyiv; career in Ukraine.
1927,non_migrated,Singer born in Kamianets-Podilskyi; studied in Kyiv and Sverdlovsk (for study); career in Ukraine.
1928,migrated,Described as Ukrainian artist in Slovakia; born in Humenné (Slovakia) and spent career there as artist and cultural organizer; non-Soviet country.
1929,migrated,Now lives in Tsareva Levada (Bulgaria); born in Odesa region but settled in Bulgaria; non-Soviet country.
1938,non_migrated,Painter born and working in Zakarpattia; career in Ukraine.
1941,non_migrated,Artist who studied in Lviv and worked in Ukraine.
1944,non_migrated,Ceramicist who studied and works in Myrhorod; career in Ukraine.
1947,non_migrated,Literary scholar who studied in Chernivtsi and works in Ivano-Frankivsk; career in Ukraine.
1950,non_migrated,Publicist and writer based in Katerynoslav/Dnipropetrovsk region; career in Ukraine.
1951,non_migrated,Painter born and working in Kyiv; career in Ukraine.
1956,non_migrated,Singer born in Mariupol who worked in Ukrainian music institutions.
1958,non_migrated,Film director born and working in Kyiv; career in Ukraine.
1959,non_migrated,Poet and literary scholar who studied and worked in Donetsk; career in Ukraine.
1962,non_migrated,Monumental blacksmith artist born and working in Lviv; career in Ukraine.
1963,migrated,Member of Artists Union of Israel (1991); emigrated from Kyiv to Israel after 1990.
1965,non_migrated,Painter who studied in Lviv and worked in Ukraine.
1966,non_migrated,Violinist born in Ivano-Frankivsk region who taught and performed in Ukraine.
1968,non_migrated,Painter born and working in Vinnytsia region; career in Ukraine.
1974,non_migrated,Graphic artist who studied and works in Kherson; career in Ukraine.
1976,non_migrated,Poet born and working in Mykolaiv; career in Ukraine.
1978,non_migrated,Painter and theatre artist who studied in Kyiv and works there; career in Ukraine.
1986,non_migrated,Prose writer and literary scholar who studied and worked at Donetsk University.
1989,non_migrated,Architect who studied and works in Ukraine; career in Ukraine.
1993,non_migrated,Pop singer born and working in Kyiv; career in Ukraine with international performance.
1994,non_migrated,Sculptor born in Chernivtsi region who studied and works in Ukraine.
1996,non_migrated,Poet born in Luhansk who studied in Novosibirsk (for military school) and taught in Luhansk; career in Ukraine.
1997,non_migrated,Painter born and working in Kyiv; career in Ukraine.
2000,non_migrated,Pianist born in Lviv who studied there and works at Lviv Conservatory.
2005,non_migrated,Poet born and working in Kyiv; career in Ukraine.
2008,non_migrated,Painter and graphic artist born in Voronezh region (Russia) but studied in Lviv and worked in Ukraine.
2011,migrated,Composer died in Chicago in 1992; graduated Kyiv Conservatory but settled in USA.
2012,non_migrated,Architect born in Nizhyn who studied in Kharkiv and worked in Ukraine throughout career.
2015,non_migrated,Pop singer born in Rivne region who studied in Lviv and works in Ukraine; became MP.
2016,non_migrated,Artist and director born in Kyiv region who studied and works in Ukraine.
2032,non_migrated,Painter born in Kirovohrad region who studied and worked in Ukraine.
2035,non_migrated,Conductor who worked in Ukrainian theatres throughout career.
2036,non_migrated,Literary scholar born in Zhytomyr region who studied and has taught at Zhytomyr Pedagogical Institute since 1975.
2038,non_migrated,Children's writer who worked in Crimea; career in Ukraine.
2039,non_migrated,Poet and literary critic born in Sumy region who studied and worked in Kyiv.
2041,non_migrated,Violinist born in Krasnoyarsk region (Russia) who studied in Ukraine and worked in Ukraine from 1988.
