id,migration_status,migration_reasoning
10389,non_migrated,Poet and bard from Alchevsk; all career activities and prizes are within Ukraine and Russia (festivals); no indication of emigration to non-Soviet country.
10390,internal_transfer,Born Stalinabad (Dushanbe); member of SX Tajikistan (1987) and NSKHU; spent substantial career in Tajikistan — voluntary Soviet-era internal transfer.
10393,internal_transfer,Born Dnipropetrovsk; member of Moscow Designers Union (2013) — moved to Moscow (Russia/FSU) for career; no evidence of emigration to non-Soviet country.
10395,non_migrated,Born Omsk RF; settled in Ukraine; served as Zasluzheny khudozhnyk Ukrainy (2016) and chairs an organization; career entirely in Ukraine.
10397,migrated,Born New Brunswick NJ USA; from family of Ukrainian emigrants; educated and performed career in USA — born and based in diaspora.
10398,migrated,Born Stryi; studied in Germany and Berchtesgaden; finished Murray State College Kentucky 1951 — settled in North America as diaspora musician.
10399,non_migrated,Born Zelenohirske Odesa oblast; career as poet entirely in Ukraine; no emigration indicated.
10400,non_migrated,Born Snihuryvka Mykolayiv oblast; graphic artist with career entirely in Ukraine; no emigration indicated.
10401,non_migrated,Born Kosachivka Chernihiv oblast; translator and literary scholar; taught at National Pedagogical University Kyiv 1963–97; remained in Ukraine.
10402,non_migrated,Born Horne Saratov oblast RF; settled in Ukraine; career as poet/dramatist entirely in Ukraine with Ukrainian and Moscow prizes.
10403,non_migrated,Born Kharkiv; designer; member of Ukrainian Designers Union and NSKHU; works in Ukraine; no emigration indicated.
10405,non_migrated,Born Zolochiv Lviv oblast; choral conductor and pedagogue; career entirely in Ukraine.
10406,non_migrated,Born Zolochiv Lviv oblast; choral conductor; career entirely in Ukraine; People's Artist of Ukraine.
10409,non_migrated,Born Chernechyi Yar Poltava oblast; painter-monumentalist; career entirely in Ukraine with Ukrainian awards.
10411,non_migrated,Born Yerevan; moved to Zaporizhzhia; member NSKHU; career entirely in Ukraine; no emigration to non-Soviet country indicated.
10413,unknown,Born 1871 Lyutenski Budyshcha; studied St Petersburg; bio ends with question mark — death date unknown; insufficient info on later life or migration.
10418,non_migrated,Born Lviv; conductor; worked in Donetsk opera theatre; career entirely in Ukraine.
10424,migrated,Born Uhornyky Ivano-Frankivsk; conductor; zasluzheny diyach kultury Polshchi (Honoured worker of Polish culture) — substantial career activity in Poland indicating migration to non-Soviet country.
10429,migrated,Born Nastasiv Ternopil oblast; left 1943 to Austria; from 1959 in Vienna; graduated Vienna Academy of Arts 1967 — settled in Austria.
10430,non_migrated,Born Sobolivka Cherkasy oblast; theatre artist; career entirely in Cherkasy; no emigration indicated.
10431,non_migrated,Born Sambir Lviv oblast; painter; career entirely in Ukraine; no emigration indicated.
10433,non_migrated,Born Kyiv; painter; career entirely in Kyiv; member NSKHU; no emigration indicated.
10434,non_migrated,Born Kryvyi Rih; composer-pianist; career entirely in Ukraine; no emigration indicated.
10438,non_migrated,Born Krasnoarmiisk Donetsk oblast; composer-writer; career in Kyiv; no emigration to non-Soviet country indicated.
10439,non_migrated,Born Kyiv; theatre scholar and TV presenter; career entirely in Kyiv; no emigration indicated.
10441,non_migrated,Born Budogoshch Leningrad oblast; writer; moved to Ukraine from age 3 (1964); career entirely in Ukraine; member of English PEN but based in Ukraine.
10442,non_migrated,Born Khmelnytskyi; pianist-organist; career entirely in Ukraine; Zasluzheny diyach mystetsv Ukrainy; no emigration indicated.
10448,non_migrated,Born Kyiv; film-theatre director; career entirely in Ukraine; no emigration indicated.
10454,migrated,Born Herserange France; studied art in Paris; from 1959 lives in Canada — settled in Canada (non-Soviet country).
10457,non_migrated,Born Pokaliv Zhytomyr oblast; decorative arts artist; member NSKHU; career entirely in Ukraine.
10459,non_migrated,Born Bryansk RF; painter; member NSKHU; Zasluzheny khudozhnyk Ukrainy; career entirely in Ukraine.
10460,non_migrated,Born Stare Kaplino Bryansk oblast RF; painter; member NSKHU; career entirely in Ukraine.
10463,non_migrated,Born Dolyna Ivano-Frankivsk oblast; poet-screenwriter; member NSPУ; career entirely in Ukraine.
10464,non_migrated,Born Yangiyul Tashkent oblast; painter; member TО of Uzbekistan artists (1998); lives in Tashkent — remained in Uzbekistan (FSU); no migration to non-Soviet country.
