id,name,birth_year,birth_city,profession,bio_text
4866,Гроза Анатолій Григорович,1937.0,Харків,співак (баритон),"(24. 12. 1937, Харків) – співак (баритон), педагог. Професор (1997). Заслужений артист УРСР (1972). Закін. Харків. консерваторію (1963; кл. Т. Веске). 1962–82 – соліст Харків. театру опери та балету ім. М. Лисенка,..."
4869,Гром’як Богдан  Іванович,1948.0,с. Сухота Бродів. р-ну Львів. обл.,архітектор,"(11. 09. 1948, с. Сухота Бродів. р-ну Львів. обл.) – архітектор. Член НСАУ (1978). Закін. архіт. факультет Львів. с.-г. інституту (1971). Працював у Терноп. філії проект. інституту «Діпроцивільпромбуд»..."
4871,Громадський Віталій  Олександрович,1928.0,"с. Комарівка, нині Теплиц. р-ну Вінн. обл.",співак (бас),"(10. 12. 1928, с. Комарівка, нині Теплиц. р-ну Вінн. обл.) – співак (бас). Лауреат Міжнар. конкурсу ім. Р. Шуманна (Берлін, 1960). Закін. Моск. консерваторію (1960; кл. О. Свєшникової). 1961–88 – соліст Моск...."
4872,Громадський Ігор  Віталійович,1976.0,смт Тростянець Вінн. обл.,композитор,"(06. 01. 1976, смт Тростянець Вінн. обл.) – композитор. Член НСКУ (2000). Закін. Інтернац. академію нової композиції та аудіомистецтва (Австрія, 1999; кл. Б. Шафера, М. Колонєвського), Нац. муз. академію..."
4873,Громико Лілія  Олександрівна,1938.0,Дніпропетровськ,співачка (сопрано),"(20. 02. 1938, Дніпропетровськ) – співачка (сопрано), педагог. Заслужений артист РРФСР (1973). Закін. Одес. консерваторію (1966; кл. О. Благовидової). Відтоді до 1995 – солістка Урал. театру опери та балету..."
4874,Громихін В’ячеслав  Михайлович,1942.0,"с. Кондратовка Курської обл., РФ",архітектор,"(29. 03. 1942, с. Кондратовка Курської обл., РФ) – архітектор. Член НСАУ (1975). Закін. Київ. інж.-буд. інститут (1970). Працював архітектором в інституті «Діпромісто» (Київ); 1970–75 – заступник гол...."
4877,Громов Євген  Володимирович,1973.0,с. Клопотівці Деражнян. р-ну Хмельн. обл.,піаніст,"(02. 01. 1973, с. Клопотівці Деражнян. р-ну Хмельн. обл.) – піаніст. Премія ім. Л. Ревуцького (1998). Навч. у Нац. муз. академії України (Київ, 1991–96). Пропагандист авангард. та поставангард. музики укр. і..."
4879,Громовий Олександр  Григорович,1958.0,с. Краснопілля Березан. р-ну Микол. обл.,живописець і графік,"(06. 01. 1958, с. Краснопілля Березан. р-ну Микол. обл.) – живописець і графік. Заслужений художник України (2021). Лауреат обл. премії у галузі образотвор. мистецтва ім. Й. Бокшая та А. Ерделі (2015). Член..."
4881,Ґронський Володимир  Петрович,1954.0,"м. Чирчик, Узбекистан",композитор,"(26. 12. 1954, м. Чирчик, Узбекистан) – композитор. Чоловік Н. Ґронської. Член НСКінУ (1993), НСКУ (2000). Державна премія України імені Тараса Шевченка (1996). Премія за кращу музику 1-го Всеукр...."
4886,Ґросу Аліна  Михайлівна,1995.0,Чернівці,співачка,"(08. 06. 1995, Чернівці) – співачка. Лауреатка фестивалів «Ранкова зірка» (Москва), «Дитячий пісенний вернісаж» (обидва – 2000), «Шлягер року» в номінації «Нові імена» (2001; обидва – Київ). Премія..."
