id,name,birth_year,birth_city,profession,bio_text
12405,Матюх Наталія Дмитрівна,1953.0,с. Пальчики Бахмац. р-ну Черніг. обл.,поетеса,"(07. 09. 1953, с. Пальчики Бахмац. р-ну Черніг. обл.) – поетеса, майстриня художньої вишивки. Член НСПУ (1982). Майстер декор.-ужитк. мистецтва (1996). Літ.-мист. премії ім. Г. Сковороди (2000), ім. Олександра..."
12406,Матюха Ярослава-Ганна Степанівна,1939.0,Львів,піаністка,"(29. 10. 1939, Львів) – піаністка, педагог. Професор (1998). Заслужений артист України (1994). Закін. Львів. консерваторію (1962; кл. І. Крих), де відтоді й викладає (нині муз. академія): від 1991 – доцент, від..."
12408,Матюша Валерія Олександрівна,1984.0,"м. Красний Луч, нині Хрустальний Луган. обл.",поетеса,"(02. 06. 1984, м. Красний Луч, нині Хрустальний Луган. обл.) – поетеса. Член НСПУ (2012). Лауреатка Донец. відкритого молодіж. фестивалю мистецтв «ЕКОАРТ» в номінації «літ-ра» (2006), літ. премії ім. О...."
12409,Матюшенко Валентина Володимирівна,1972.0,Полтава,співачка (сопрано),"(17. 11. 1972, Полтава) – співачка (сопрано). Заслужений артист України (2010). Лауреатка міжнар. конкурсів вокалістів: ім. П. Бюль-Бюля (Баку, 1997, 2-а премія), ім. Л. Собінова (м. Саратов, РФ, 2002, 3-я премія),..."
12412,Матюшкін Сергій Анатолійович,1954.0,"м. Керч, нині АР Крим",живописець,"(12. 08. 1954, м. Керч, нині АР Крим) – живописець, графік. Навч. у Львів. інституті прикладного та декоративного мистецтва (1970-і рр.). На творчій роботі. Учасник міських, обл. худож. виставок від 1976...."
12416,Матящук Іван Юхимович,1946.0,с. Вітоніж Рожищен. р-ну Волин. обл.,живописець,"(10. 11. 1946, с. Вітоніж Рожищен. р-ну Волин. обл.) – живописець. Член НСХУ (1991–2015). Закін. Київ. худож.-пром. технікум (1971). На творчій роботі. Створював переважно пейзажі у реаліст. стилі. Наприкінці..."
12417,Мафтин Наталія Василівна,1962.0,с. Михайлівці Муровано-Куриловец. р-ну Вінн. обл.,літературознавець,"(11. 12. 1962, с. Михайлівці Муровано-Куриловец. р-ну Вінн. обл.) – літературознавець. Доктор філологічних наук (2010). Літ. премія ім. І. Франка (2009). Закін. Чернів. університет (1984). Учителювала; від 1991..."
12422,Махінчук Микола Гаврилович,1944.0,с. Тарган Володар. р-ну Київ. обл.,письменник,"(13. 09. 1944, с. Тарган Володар. р-ну Київ. обл.) – письменник, жур­­налiст, краєзнавець. Член НСЖУ (1975), НСПУ (1997), Національної спілки краєзнавців України (2012). Заслужений журналіст України (1995)...."
12423,Махлай Олег,1969.0,"м. Клівленд, шт. Огайо, США",диригент,"(21. 03. 1969, м. Клівленд, шт. Огайо, США) – диригент, бандурист. Вивчав муз. теорію, скрипку та фортепіано у Клівленд. муз. школі, ступінь бакалавра з історії музики та літ-ри здобув в Університеті..."
12424,Махно Василь Іванович,1964.0,м. Чортків Терноп. обл.,письменник,"(08. 10. 1964, м. Чортків Терноп. обл.) – письменник, есеїст, перекладач, літературознавець. Кандидат філологічних наук (1995). Член НСПУ (1995), АУП (1996–2000), ПЕН-клубу в США (2003). Учасник літ. гурту..."
