id,migration_status,migration_reasoning
3342,non_migrated,Kyiv-based film director; entire career in Ukrainian SSR/Ukraine with no indication of emigration or forced relocation.
3344,non_migrated,Kyiv-born painter; career entirely in Ukraine with no indication of emigration or forced relocation.
3345,non_migrated,Vinnytsia-born prose writer; career entirely in Ukraine with no indication of emigration or forced relocation.
3346,non_migrated,Kyiv-born ballet master; career in Ukrainian dance institutions with no indication of emigration.
3347,non_migrated,Kharkiv-born conductor; career in Ukrainian SSR/Ukraine with no indication of emigration or forced relocation.
3349,non_migrated,Artemivsk-born pianist/pedagogue; career at Donetsk music-pedagogical institute with no indication of emigration.
3355,non_migrated,Kyiv-born pianist; spent entire career at Kyiv Conservatory with no indication of emigration.
3356,non_migrated,Born in Kamchatka (RF) but career as actor in Kyiv (Franko Theatre); settled in Ukraine without emigration signals.
3359,non_migrated,Kyiv-born bass singer; career at National Opera of Ukraine with no indication of emigration.
3361,non_migrated,Poltava-born writer/journalist; career entirely in Ukraine with no indication of emigration.
3363,migrated,Born and based in Slovakia; described as Ukrainian graphic artist and civic figure in Slovakia — settled in non-Soviet country.
3365,non_migrated,Zhmerynka-born choral conductor; career in Ukrainian SSR/Ukraine with no indication of emigration.
3366,non_migrated,Rakhiv-born painter/sculptor; career in Ukraine (Prykarpattia) with no indication of emigration.
3370,non_migrated,Born in Krasnodar (RF) but member of NSAKHU; career entirely in Ukraine with no indication of emigration.
3381,non_migrated,Chernihiv-born designer/painter; career in Ukrainian SSR/Ukraine with no indication of emigration.
3382,non_migrated,Born in Kazakhstan (Soviet-era birth); career as painter entirely in Ukraine with no indication of emigration.
3387,non_migrated,Kyiv-born graphic artist/painter; career in Ukraine with no indication of emigration.
3388,non_migrated,Odesa-born painter; career in Ukraine with no indication of emigration.
3391,non_migrated,Khmelnytskyi-born poet; studied and worked in Ukraine with no indication of emigration.
3393,non_migrated,Kyiv-born pysankarka; career in Ukraine with no indication of emigration.
