id,name,birth_year,birth_city,profession,bio_text
8917,Колесникова Діна Михайлівна,1928.0,"м. Зарайськ, нині Моск. обл.",мистецтвознавець,"(25. 02. 1928, м. Зарайськ, нині Моск. обл.) – мистецтвознавець. Дружина М. Факторовича. Член СХУ (1962–94). Закін. істор. факультет Ленінгр. університету (нині С.-Петербург; 1951). Відтоді працювала у..."
8919,Колесникова Людмила Анатоліївна,1957.0,"м. Саратов, РФ",співачка (сопрано),"(11. 05. 1957, м. Саратов, РФ) – співачка (сопрано), педагог. Заслужений артист України (1997). Лауреатка міжнар. конкурсу «Золоті трембіти» (Київ, 1996). Закін. Саратов. консерваторію (1985; викл. О...."
8920,Колесниченко Віталій Семенович,1933.0,"с. Новоархангельськ Одес. обл., нині смт  Кіровогр. обл.",графік і живописець,"(18. 12. 1933, с. Новоархангельськ Одес. обл., нині смт  Кіровогр. обл.) – графік і живописець. Обл. премія ім. Ю. Яновського СЖУ (1985). Член НСЖУ (1985). Закін. Укр. полігр. інститут у Львові (1966; викл. В...."
8921,Колесниченко Олена Григорівна,1963.0,м. Нікополь Дніпроп. обл.,живописець,"(05. 06. 1963, м. Нікополь Дніпроп. обл.) – живописець. Член НСХУ (1988). Закін. Дніпроп. художнє училище (1983). На творчій роботі. Учасниця мистецьких виставок від серед. 1980-х рр. Авторка натюрмортів,..."
8927,Колесса Харитина Миколаївна,1942.0,Львів,віолончелістка,"(22. 07. 1942, Львів) – віолончелістка, пе­­дагог. Дочка Миколи, сестра Ксе­­нії, мати Галини та Яреми, онука Філарета Колессів. Професор (1992). Заслужений артист України (2001). Лауре­­атка..."
8929,Колесса Ярема Іванович,1965.0,Львів,диригент,"(06. 04. 1965, Львів) – диригент, педагог. Син Ха­ритини Колесси та І. Юзюка, брат Галини, онук Миколи, правнук Філарета Колессів. Заслужений артист України (2002). Закін. Львів. консерваторію (1988; кл. М...."
8934,Колечко Любов Кирилівна,1936.0,"м. Петров-Забайкальськ, нині Читин. обл., РФ",графік,"(22. 08. 1936, м. Петров-Забайкальськ, нині Читин. обл., РФ) – графік. Мати С. Ко­лечка. Член НСХУ (1995). За­кін. Одес. художнє училище (1965; викл. О. Лихоліт, В. Соколов, Д. Фру­міна). Учасниця мистецьких..."
8935,Колечко Сергій Євгенович,1960.0,Київ,художник декоративно-ужиткового мистецтва,"(14. 12. 1960, Київ) – художник декоративно-ужиткового мистецтва, живописець. Син Любові, чоловік Тетяни Колечків. Член НСХУ (1995). Закін. Одес. художнє училище (1980; викл. С. Лукін, Н. Мартинюк), навч...."
8939,Колибаба Леонід Якович,1946.0,Рівне,скульптор,"(21. 07. 1946, Рівне) – скульптор, графік. Член СХ РФ (1984). Вивчав скульптуру у Б. Ричкова, О. Пироженка. Навч. у Косів. декор.-приклад. училищі (Івано-Фр. обл., 1964–66), закін. Ленінгр. (нині С.-Петер­бург)..."
8943,Колісник Тетяна Іванівна,1982.0,Харків,графік,"(09. 06. 1982, Харків) – графік, живописець. Член НСХУ (2006). Закін. Харків. екон. університет (2004). Мистецтву навч. 1999 приватно у Є. Бикова. Працюва­ла у ТОВ «Гіз-Контакт» (Харків, 2004). На творчій роботі...."
8944,Колісник Валентина Іванівна,1967.0,Херсон,співачка (альт),"(29. 08. 1967, Херсон) – співачка (альт). Заслужений артист України (2008). Премія ім. І. Кот­ляревського (2008). Ґран-Прі міжнар. фестивалю «Світ музики» у складі пісенно-танц. ансамблю «Полтава» (м...."
