id,migration_status,migration_reasoning
8390,non_migrated,Entire career as choral conductor and teacher in Zhytomyr region; no evidence of emigration or forced displacement.
8391,non_migrated,Worked 1976–2000 at Kyiv zonal research institute; no evidence of emigration.
8392,non_migrated,Worked in Ukrainian SSR after graduating Kyiv University in 1977; no evidence of emigration.
8393,non_migrated,Studied and worked in Kyiv and Dnipropetrovsk throughout career; no evidence of emigration.
8396,non_migrated,Studied and worked in Kyiv; no evidence of emigration or forced displacement.
8397,non_migrated,Worked in Kyiv; co-founder of arts group in Kyiv 1990s; no evidence of emigration.
8398,non_migrated,Based in Zhytomyr region throughout career; no evidence of emigration.
8399,non_migrated,Graduated Kyiv Conservatory and taught in Zhytomyr; no evidence of emigration.
8400,non_migrated,Worked as art critic in Kyiv; no evidence of emigration.
8403,non_migrated,Studied in Leningrad then worked throughout Ukraine; stayed in Ukrainian SSR.
8406,internal_transfer,Left Ukraine for Moscow to study at VGIK (1972); became member of Russian Cinematographers Union (СКін РФ 1984) and received Honoured Art Worker of RF (1993); career settled in Russia.
8408,non_migrated,Worked as a poet and journalist in Chernihiv region; no evidence of emigration.
8409,non_migrated,Studied at Moscow Art Institute then returned to creative work in Ukraine; no long-term settlement outside Ukraine.
8410,non_migrated,Works as doctor in Rivne region; no evidence of emigration.
8411,non_migrated,Born in Russia; studied and worked in Kyiv throughout career in Ukraine; no emigration.
8418,internal_transfer,Born in Kyiv but built career largely in Moscow conservatory context; won Paris competition 1955 and worked primarily in Russia receiving "People's Artist of USSR" designation from Moscow; career based in Russia.
8419,non_migrated,Born in Russia; studied in Kyiv and St. Petersburg; worked in Kyiv as sculptor; stayed in Soviet sphere.
8427,non_migrated,Studied and worked in Kyiv; no evidence of emigration.
8429,non_migrated,Born in Bulgaria; studied in Lviv and worked in Ukraine as monumental artist; no evidence of emigration from Ukraine.
8430,non_migrated,Studied at Lviv Conservatory and worked as composer and teacher there; no evidence of emigration.
8439,non_migrated,Singer and producer working in Kyiv; no evidence of emigration.
8440,non_migrated,Studied in Odesa and Kyiv conservatories; taught in Kyiv music schools; no evidence of emigration.
8442,non_migrated,Studied in Kyiv and worked in Uzhhorod; no evidence of emigration.
8443,non_migrated,Studied and worked in Ivano-Frankivsk region; no evidence of emigration.
8444,non_migrated,Sang with Ukrainian folk choir and worked in Mykolaiv; no evidence of emigration.
8445,non_migrated,Studied geography and theater in Kyiv; worked as director in Ukraine; no evidence of emigration.
8446,non_migrated,Graduated Kyiv Engineering-Construction Institute and worked at Kyivproekt; no evidence of emigration.
8449,non_migrated,Studied and worked in Kyiv; no evidence of emigration.
8452,non_migrated,Graduated Lviv Conservatory and worked as soloist at Ivano-Frankivsk Philharmonic; no evidence of emigration.
8453,migrated,Fled Ukraine during WWII; became Corresponding Member of NTSh in Canada (1981); settled in Canada as part of Ukrainian diaspora.
8454,non_migrated,Worked as graphic artist in Poltava; no evidence of emigration.
8461,non_migrated,Born in Russia; worked as conductor in Ukraine receiving Ukrainian awards; no evidence of emigration from Ukraine.
8464,non_migrated,Studied in Kyiv and Moscow arts programs; teaches in Ukraine; no evidence of emigration.
8467,non_migrated,Studied at Kyiv University and works as poet in Zhytomyr region; no evidence of emigration.
8470,migrated,Born in Toronto, Canada; great-granddaughter of Ivan Franko; lived entire life in Canada as part of Ukrainian diaspora.
8472,non_migrated,Graduated Ukrainian Academy of Arts in Kyiv; taught and worked in Vinnytsia region; no evidence of emigration.
8473,non_migrated,Born in Russia; studied at Kharkiv Art Institute; works in Kharkiv; no evidence of emigration.
8475,non_migrated,Born in Vyzhnytsia; studied and worked in Ukraine; no evidence of emigration.
8478,non_migrated,Graduated Kyiv Conservatory and worked as conductor and teacher in Ukraine; no evidence of emigration.
8483,non_migrated,Studied at Kyiv theater institute and worked as circus director in Ukraine; no evidence of emigration.
8484,non_migrated,Born in Odesa; studied and worked as pianist in Ukraine; no evidence of emigration.
8487,non_migrated,Studied at Glier Music College and Kyiv Conservatory; worked as pianist and teacher in Ukraine; no evidence of emigration.
8493,non_migrated,Born in Komi Republic (Russia); studied in Odesa and worked as artist in Ukraine throughout career; no evidence of emigration from Ukraine.
8499,non_migrated,Studied at Luhansk conservatory and worked as choral conductor in Ukraine; no evidence of emigration.
8500,non_migrated,Studied at Kyiv Art Institute and worked as sculptor in Dnipropetrovsk; no evidence of emigration.
8503,deported,Bio states "Репрес. 1938. Із заслання не..." — repressed in 1938 and did not return from exile; Soviet forced deportation/labour exile.
8507,non_migrated,Studied at Donetsk and Kuban universities; worked as painter in Ukraine; no evidence of emigration.
8508,non_migrated,Studied at Kyiv University and works as prose writer in Ukraine; no evidence of emigration.
8509,non_migrated,Studied at Kyiv Conservatory and worked as violinist and conductor in Ukraine; no evidence of emigration.
8510,non_migrated,Worked as singer with Kyiv philharmonic and in Mykolaiv; no evidence of emigration.
8511,non_migrated,Born in Bashkortostan RF; graduated Kyiv University and worked at Tavriya publishing (Simferopol) and in Ukraine; no evidence of emigration from Ukraine.
8512,non_migrated,Studied at Kyiv theater institute and works as actor in Ukraine; no evidence of emigration.
8513,non_migrated,Studied at Poltava Pedagogical University and works as painter in Ukraine; no evidence of emigration.
8514,non_migrated,Studied at Odesa Pedagogical Institute; worked and taught in Odesa region; no evidence of emigration.
8521,non_migrated,Singer and pedagogue based in Ukraine; no evidence of emigration.
8525,non_migrated,Taught at Aden University 1976–80 (short Soviet-era assignment); returned to work in Kyiv; no permanent emigration.
8526,non_migrated,Singer and conductor in Ukraine; no evidence of emigration.
