id,migration_status,migration_reasoning
14941,non_migrated,Career as architect and restorer entirely within Ukraine; professor at Ukrainian institutions.
14947,non_migrated,Graduated Kyiv Art Institute and worked as graphic artist within Ukraine throughout career.
14951,non_migrated,Choral conductor and pedagogue based in Ukraine; worked 1981–2002 in Ukrainian institutions.
14953,non_migrated,Painter based in Kyiv; graduated Kyiv Art Institute 1984 and worked in Ukraine thereafter.
14960,non_migrated,Singer (baritone) and pedagogue with Zasluzheny Artyist Ukrainy title; career entirely in Ukraine.
14962,non_migrated,Poet based in Vinnytsia region; NSPU member; entire career in Ukraine.
14963,non_migrated,Art scholar based in Zakarpattia; received regional Erdeli-Bokshay prizes; works in Ukraine.
14964,non_migrated,Painter based in Uzhhorod; NSHU member 2006; graduated Lviv Institute 1992; career in Ukraine.
14966,non_migrated,Literary scholar; worked at Kyiv universities 2006–2019 and subsequently; entire career in Ukraine.
14968,non_migrated,Architect and Kyiv expert; State Prize of Ukraine in architecture 2006; career in Kyiv.
14969,non_migrated,Painter based in Kyiv; NSHU member 1989; graduated Kyiv Art Institute 1984; works in Ukraine.
14970,non_migrated,Actor; worked in Kharkiv Operetta Theatre 1958–83; career in Ukraine.
14971,non_migrated,Graphic artist based in Kyiv; daughter of I. Pryntsevsky; NSHU member 1995; career in Ukraine.
14976,non_migrated,Art scholar and painter; member NSHU 2011; graduated National Academy Kyiv 2000; career in Ukraine.
14977,non_migrated,Graphic artist; born in Russian Federation; graduated Chernihiv Pedagogical University 2011; NSHU member 2019; works in Ukraine.
14981,non_migrated,Violinist and composer; Zasluzhenyi Artyist Ukrainy 1999; graduated Odesa Conservatory; career in Ukraine.
14982,non_migrated,Choral conductor and pedagogue; Zasluzhenyi Diyach Mystetstv Ukrainy; career in Odesa region.
14984,non_migrated,Musicologist and composer based in Kharkiv; docent; entire career in Ukraine.
14985,non_migrated,Painter based in Uzhhorod; son of Viacheslav Prykhodko; NSHU member 2006; career in Ukraine.
14987,non_migrated,Painter based in Mykolaiv; Zasluzhenyi Diyach Mystetstv Ukrainy 1993; career in Ukraine.
14990,non_migrated,Screenwriter born in Lithuania; graduated Leningrad Institute of Culture 1976; NSHU member 1991; career based in Ukraine.
14992,non_migrated,Pianist and composer; Zasluzhenyi Diyach Mystetstv Ukrainy 2009; career in Ukraine.
14994,non_migrated,Designer and art scholar; born Donetsk; doctorate; career in Ukrainian institutions.
14996,non_migrated,Painter born Donetsk; graduated Kharkiv Art-Industrial Institute; NSHU member 2000; career in Ukraine.
15001,migrated,Profession described as "Ukrainian conductor in Slovakia"; born and worked in Slovakia (non-Soviet country).
15005,non_migrated,Translator and publisher; NSPU member 1985; graduated Lviv University; career in Ukraine.
15009,non_migrated,Painter; Narodnyi Khudozhnyk Ukrainy 2015; career in Ukraine.
15011,non_migrated,Graphic artist and ex-libris master; career in Ivano-Frankivsk region; NSHU member.
15012,non_migrated,Decorative arts artist; daughter of P. Prokopiv; NSHU member 2010; graduated Lviv Academy 1997; career in Ukraine.
15013,non_migrated,Sculptor based in Kyiv; son of Y. Prokopov; Zasluzhenyi Khudoznyk 1989; career in Ukraine.
